Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,NTG_Slope
15_9-F-5,3492.550852,0.5555476201242541,0.8136360013302657,1.0360770381499689,-0.26489741405181644,0.7877164902670726,1.9769027359591878,-1.6721907570734087,-2.156859925148953,-0.3687400505202852,-0.5306624759180717,1.0,0.0,1,0,0,0,0,5.056438558588113
15_9-F-5,3492.703252,0.8752452314674428,1.1657174676594304,-0.09687995686570937,-0.3089603848407766,0.834451993072691,2.6900671655988253,-2.582941542690926,-2.957531746161897,1.3661613108298523,-0.5311155862160811,5.0,0.0,1,0,0,0,0,3.366004913953416
15_9-F-5,3492.855652,1.069046614726303,1.377960203771706,-0.8650865277251204,0.20019504086192216,0.4055848838416602,3.0760269384381393,-3.0069376712446614,-3.386533665058417,3.4762796600002144,-0.5311749763579456,5.0,0.0,1,0,0,0,0,1.675571269318719
15_9-F-5,3493.008052,1.3816144543706446,1.7250725943810492,-0.7767569883471509,0.00883555086161367,0.08118556802631051,3.087168360028623,-3.0228866403335677,-3.4003724372734556,3.5384968604521303,-0.5311972476596796,5.0,0.0,1,0,0,0,0,-0.01486237531597783
15_9-F-5,3493.160452,1.6760279407572365,2.0423717586974197,-0.938869089717628,-0.30862216654272207,-0.12500078748958202,3.492375043132941,-2.6348310289569388,-3.8511209982221786,3.5384968604521303,-0.5312061040837609,5.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3493.312852,1.7997545562318207,2.1779515813160493,-0.8909300769372229,-0.5501214857712199,-0.11400402717662607,3.5886119953098325,-1.9480364562664902,-3.9598542084831956,3.5384968604521303,-0.5312072762575364,5.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3493.465252,1.662320959938886,2.0274651491001414,-1.6080789521421506,-0.28054947228028887,0.3176122858783883,3.2988891645172282,-1.5741260153681365,-3.635631584698785,3.5384968604521303,-0.5312051923930466,5.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3493.617652,1.256456553030631,1.583814152581637,-1.6988119549829381,0.2640226678586259,0.017954897259769818,3.2897717015807797,-1.6469166574577072,-3.625746727632654,3.5384968604521303,-0.5311943823460062,5.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3493.770052,0.9940454437363077,1.2956184581448007,-1.1732305853770055,-0.24722250864822787,-0.4548985109528973,3.492375043132941,-1.6215566616390757,-3.8511209982221786,3.5384968604521303,-0.5311816186773091,5.0,3.0,0,0,0,1,0,-1.7052960199506746
15_9-F-5,3494.227252,0.437141941543266,0.6858644646440251,-0.9022374556235357,-0.64291045045737,-1.6315344623269956,3.8996080958733454,-2.4273149292435727,-4.284076871806955,3.5384968604521303,-0.5310985245781763,5.0,3.0,0,0,0,1,0,-2.550512842268023
15_9-F-5,3494.379652,0.2607733559331687,0.492787664533827,-0.7244558348985088,-0.6449352450140861,-1.7552462151552566,3.796282471508321,-2.9581360055263413,-4.191159401220268,3.5384968604521303,-0.530999410774686,5.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3494.532052,0.09687203362000696,0.31461748111932314,-0.7182044977318539,-0.6282339356032963,-1.9339406423972716,3.796282471508321,-3.0828596319153885,-4.191159401220268,3.5384968604521303,-0.5308565358234235,5.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-5,3494.684452,-0.022001495158289495,0.18329677905143002,-0.6572774163630489,-0.6833109072207215,-2.082394734794589,3.793241706498076,-2.983438737690817,-4.187205466301686,3.5384968604521303,-0.5306883940139207,5.0,3.0,0,0,0,1,0,-0.01486237531597783
