Well,Depth,GR,RT,NPHI,RHOB,RD,DT,VSH,KLOGH,PHIF,SW,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,GR_Slope,GR_Serration,RelPos,OppositionIndex,NTG_Slope,AI_Slope,BaseSharpness
15_9-F-4,3255.111649,-1.018831815,0.437620838,-0.046170013,-0.710347437,0.72049184,0.311394541,-0.923282368,0.663541683,0.694676251,-0.988978771,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.391849364,0.834597034,0.943008016,-0.004134061,-0.379481049,-0.420756437
15_9-F-4,3255.264049,-1.110810302,0.439439995,-0.101231283,-0.767495192,0.719231149,0.189703256,-0.996214446,0.990929852,0.716424576,-0.992632088,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.429165529,1.169521076,-0.184775947,-0.004134061,-0.181372448,-0.596136312
15_9-F-4,3255.416449,-1.05152128,0.436997624,-0.019836197,-0.749786685,0.712051411,0.201113948,-0.949598059,0.803119916,0.725124095,-0.992070034,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.463881635,1.36112393,0.254259643,-0.004134061,0.209751462,-0.296715899
15_9-F-4,3255.568849,-0.993282621,0.424556477,-0.082079535,-0.794056046,0.731014099,0.478446198,-0.903733563,0.648699587,0.738173134,-0.988697746,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.442168166,1.394168894,-0.060850067,-0.004134061,0.557326119,-0.296715899
15_9-F-4,3255.721249,-0.934060303,0.429657074,-0.220930248,-0.76910523,0.727877919,0.525718794,-0.856365344,0.446886529,0.688876577,-0.985044468,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.401235022,1.354837815,0.35086281,-0.004134061,0.517435616,-0.296715899
15_9-F-4,3255.873649,-0.943222321,0.435699311,-0.04377599,-0.76910523,0.735175589,0.590112569,-0.863884025,0.513681845,0.732373459,-0.991226951,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.361247226,1.283977645,-0.305014413,-0.004134061,0.235242355,-0.296715899
15_9-F-4,3256.026049,-0.996773719,0.441116949,0.042407116,-0.778763549,0.723994015,0.590884939,-0.90598918,0.68550934,0.758471551,-0.995723351,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.317281701,1.156065681,-1.212005902,-0.004134061,-0.224218571,-0.296715899
15_9-F-4,3256.178449,-1.053154497,0.43420369,-0.287961248,-0.695859005,0.730204072,0.422104333,-0.950349951,0.670938876,0.627981107,-0.981953208,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.247910772,0.890556791,-1.472740167,-0.004134061,-0.351266737,-0.296715899
15_9-F-4,3256.330849,-0.926300815,0.443906293,-0.103625305,-0.54937038,0.730939802,0.319251021,-0.850350229,0.329127837,0.581584612,-0.979423999,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.194750472,0.505977589,-1.530971164,-0.004134061,-0.436553671,-0.296715899
15_9-F-4,3256.483249,-0.819987356,0.404551244,-0.311901041,-0.278929849,0.743066597,0.030862471,-0.766891917,0.031084466,0.36410062,-0.941204914,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.185841167,0.017418733,-1.459118389,-0.004134061,-0.286352091,-0.296715899
