Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4
15_9-F-4,3265.932049,0.009961536,-0.217053994,0.127435436,0.274962393,0.694245485,-0.942615608,1.109830134,0.927209529,-0.503703407,-0.355730787,0,0,0,0,1,0
15_9-F-4,3266.084449,0.010057428,-0.217053994,0.115073466,0.274391227,0.581530547,-0.966927242,1.161950876,0.911393512,-0.496045854,-0.358400722,0,0,0,0,1,0
15_9-F-4,3266.236849,0.009076577,-0.217763842,0.108076967,0.257272286,0.347853033,-0.971991965,1.171304639,0.846153962,-0.485516832,-0.367911747,0,0,0,0,1,0
15_9-F-4,3266.389249,-0.040082532,-0.256805052,0.09817312,0.271212073,0.5512898,-0.977056679,1.067091785,0.909416802,-0.488866972,-0.331530994,0,0,0,0,1,0
15_9-F-4,3266.541649,-0.092437256,-0.299395633,0.106393414,0.250686839,0.100429527,-0.919315958,0.980675749,0.739397679,-0.47450914,-0.332340433,0,0,0,0,1,0
15_9-F-4,3266.694049,-0.117416934,-0.319271112,0.10890004,0.247549569,0.358849381,-0.816999897,0.938023296,0.745328384,-0.47690215,-0.316129023,0,0,0,0,1,0
15_9-F-4,3266.846449,-0.094691795,-0.300815238,0.099222713,0.225145255,-0.232217372,-0.566785282,0.900163351,0.409243817,-0.42952138,-0.384231267,0,0,0,0,1,0
15_9-F-4,3266.998849,-0.104594698,-0.308623517,0.042167238,0.226261384,0.281873159,-0.43002815,0.878801886,0.464598965,-0.408463268,-0.371763119,0,0,0,0,1,0
15_9-F-4,3267.151249,-0.099753007,-0.305074359,-0.00453694,0.24584254,0.015205721,-0.398625423,0.772134414,0.367727698,-0.369697185,-0.387681626,0,0,0,0,1,0
15_9-F-4,3267.303649,-0.111870887,-0.315012098,0.008189439,0.227309131,0.380842544,-0.540447278,0.678804918,0.567401254,-0.404634525,-0.352044552,0,0,0,0,1,0
15_9-F-4,3267.456049,-0.058873514,-0.272421617,0.046401692,0.176803067,0.746479395,-0.413819594,0.804293342,0.587170968,-0.425692637,-0.374764014,0,0,0,0,1,0
15_9-F-4,3267.608449,-0.084022401,-0.292297203,0.108558505,0.15460603,0.347853033,-0.09370602,0.846830166,0.258994409,-0.413249212,-0.407284153,0,0,0,0,1,0
15_9-F-4,3267.760849,-0.168064091,-0.359732133,0.122240725,0.150854168,0.177405777,-0.073447135,0.78759334,0.195731253,-0.413249212,-0.381812431,0,0,0,0,1,0
15_9-F-4,3267.913249,-0.296778385,-0.463368963,-0.428971296,0.642097801,0.647509982,-0.3277145,0.737926116,0.502161387,-0.139493762,-0.242122397,0,0,0,0,1,0
15_9-F-4,3268.065649,-0.406414129,-0.550679472,-0.233202447,0.349380192,0.53204584,-0.866639961,0.749733396,0.828361235,-0.315616135,0.00886215,0,0,0,0,1,0
15_9-F-4,3268.218049,-0.452732596,-0.588301084,-0.097412881,0.240677377,1.013146833,-1.168518599,0.741491867,1.17037621,-0.431435787,0.317752508,0,0,0,0,1,0
15_9-F-4,3268.370449,-0.370156379,-0.521576009,-0.025260885,0.204699917,0.969160534,-1.316419574,0.876751415,1.255385791,-0.47450914,0.191833495,0,0,0,0,1,0
15_9-F-4,3268.522849,-0.341806179,-0.498861114,0.02523664,0.169803007,0.526547433,-1.334652088,1.214158616,1.140722093,-0.485995435,0.066723127,0,0,0,0,1,0
15_9-F-4,3268.675249,-0.327901609,-0.488213419,0.02863141,0.175829289,0.567784555,-1.313378809,1.480825645,1.13874479,-0.486952636,0.041679892,0,0,0,0,1,0
15_9-F-4,3268.827649,-0.325359715,-0.486083958,0.080512041,0.117864708,0.809709654,-1.362004477,1.780054649,1.241547078,-0.520932704,0.094215664,0,0,0,0,1,0
15_9-F-4,3268.980049,-0.341248242,-0.498861114,0.11946008,0.090341181,0.05919202,-1.431903426,1.623619741,1.071527936,-0.521411307,0.028389675,0,0,0,0,1,0
15_9-F-4,3269.132449,-0.40165156,-0.547130314,0.1499115,0.075136132,0.751977775,-1.431903426,1.452115738,1.271201788,-0.555391446,0.272440554,0,0,0,0,1,0
15_9-F-4,3269.284849,-0.484977391,-0.613855388,0.176969032,0.067671368,0.713489444,-1.457227034,1.506575472,1.277132492,-0.568313474,0.499279901,0,0,0,0,1,0
15_9-F-4,3269.437249,-0.569329117,-0.682000174,0.193900977,0.068133729,0.598025303,-1.427850687,1.564686851,1.223754351,-0.571663614,0.72351855,0,0,0,0,1,0
15_9-F-4,3269.589649,-0.566697029,-0.67987072,0.200483146,0.052151046,0.694245485,-1.384292153,1.622494295,1.22177766,-0.574535222,0.712216536,0,0,0,0,1,0
15_9-F-4,3269.742049,-0.554257824,-0.669223018,0.19644804,0.045929132,0.213144492,-1.2880552,1.517256205,1.020127098,-0.552998508,0.461445626,0,0,0,0,1,0
15_9-F-4,3269.894449,-0.489756946,-0.618114509,0.194695597,0.029586962,0.262629199,-1.239429532,1.50758529,1.000357088,-0.549648373,0.27723391,0,0,0,0,1,0
15_9-F-4,3270.046849,-0.504828239,-0.630181809,0.199299816,0.000391163,0.389090128,-1.279949712,1.324073585,1.065597231,-0.558263055,0.365064906,0,0,0,0,1,0
15_9-F-4,3270.199249,-0.491261871,-0.618824258,0.203600531,-0.016193012,0.776720115,-1.385304127,1.192580209,1.247478376,-0.576928161,0.489480783,0,0,0,0,1,0
